Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.000000,0.716684,0.706999,0.706999,0.050272,77440
1962-01-03,0.000000,0.716684,0.710227,0.716684,0.050961,85184
1962-01-04,0.000000,0.718298,0.703771,0.703771,0.050042,100672
1962-01-05,0.000000,0.703771,0.677944,0.684401,0.048665,147136
1962-01-08,0.000000,0.703771,0.694086,0.697314,0.049583,92928
1962-01-09,0.000000,0.706999,0.694086,0.698928,0.049698,85184
1962-01-10,0.000000,0.703771,0.697314,0.697314,0.049583,30976
1962-01-11,0.000000,0.703771,0.694086,0.703771,0.050042,54208
1962-01-12,0.000000,0.706999,0.698928,0.706999,0.050272,77440
1962-01-15,0.000000,0.703771,0.700542,0.702157,0.049928,54208
1962-01-16,0.000000,0.708613,0.700542,0.708613,0.050387,61952
1962-01-17,0.000000,0.706999,0.700542,0.703771,0.050042,54208
1962-01-18,0.000000,0.706999,0.698928,0.698928,0.049698,69696
1962-01-19,0.000000,0.708613,0.703771,0.708613,0.050387,77440
1962-01-22,0.000000,0.708613,0.700542,0.702157,0.049928,116160
1962-01-23,0.000000,0.705385,0.702157,0.705385,0.050157,85184
1962-01-24,0.000000,0.706999,0.700542,0.703771,0.050042,139392
1962-01-25,0.000000,0.706999,0.703771,0.703771,0.050042,61952
1962-01-26,0.000000,0.723140,0.706999,0.719912,0.051190,108416
1962-01-29,0.000000,0.723140,0.716684,0.716684,0.050961,69696
1962-01-30,0.000000,0.723140,0.716684,0.723140,0.051419,209088
1962-01-31,0.000000,0.729597,0.713456,0.719912,0.051190,100672
1962-02-01,0.000000,0.721526,0.716684,0.721526,0.051305,77440
1962-02-02,0.000000,0.755424,0.736054,0.755424,0.053715,379456
1962-02-05,0.000000,0.761880,0.752195,0.761880,0.054174,216832
1962-02-06,0.000000,0.761880,0.755424,0.761880,0.054174,201344
1962-02-07,0.000000,0.761880,0.757038,0.761880,0.054174,139392
1962-02-08,0.000000,0.771565,0.760266,0.761880,0.054174,240064
1962-02-09,0.000000,0.771565,0.765108,0.771565,0.054863,116160
1962-02-12,0.000000,0.771565,0.765108,0.769951,0.054748,61952
1962-02-13,0.000000,0.765108,0.758652,0.761880,0.054748,61952
1962-02-14,0.000000,0.761880,0.757038,0.757038,0.054400,38720
1962-02-15,0.000000,0.758652,0.755424,0.755424,0.054284,38720
1962-02-16,0.000000,0.758652,0.742510,0.742510,0.053356,162624
1962-02-19,0.000000,0.755424,0.748967,0.748967,0.053820,30976
1962-02-20,0.000000,0.750581,0.750581,0.750581,0.053936,23232
1962-02-21,0.000000,0.760266,0.755424,0.757038,0.054400,61952
1962-02-23,0.000000,0.758652,0.752195,0.752195,0.054052,77440
1962-02-26,0.000000,0.758652,0.750581,0.750581,0.053936,92928
1962-02-27,0.000000,0.753809,0.753809,0.753809,0.054168,7744
1962-02-28,0.000000,0.757038,0.750581,0.753809,0.054168,77440
1962-03-01,0.000000,0.755424,0.752195,0.755424,0.054284,85184
1962-03-02,0.000000,0.757038,0.750581,0.750581,0.053936,54208
1962-03-05,0.000000,0.758652,0.748967,0.758652,0.054516,108416
1962-03-06,0.000000,0.761880,0.755424,0.761880,0.054748,54208
1962-03-07,0.000000,0.755424,0.748967,0.748967,0.053820,123904
1962-03-08,0.000000,0.753809,0.750581,0.750581,0.053936,23232
1962-03-09,0.000000,0.760266,0.755424,0.755424,0.054284,131648
1962-03-12,0.000000,0.755424,0.752195,0.752195,0.054052,38720
1962-03-13,0.000000,0.758652,0.753809,0.758652,0.054516,46464
1962-03-14,0.000000,0.761880,0.758652,0.760266,0.054632,30976
1962-03-15,0.000000,0.761880,0.757038,0.758652,0.054516,85184
1962-03-16,0.000000,0.758652,0.750581,0.750581,0.053936,131648
1962-03-19,0.000000,0.755424,0.752195,0.752195,0.054052,46464
1962-03-20,0.000000,0.757038,0.752195,0.757038,0.054400,69696
1962-03-21,0.000000,0.758652,0.753809,0.753809,0.054168,77440
1962-03-22,0.000000,0.750581,0.748967,0.750581,0.053936,147136
1962-03-23,0.000000,0.761880,0.744124,0.747353,0.053704,332992
1962-03-26,0.000000,0.745739,0.739282,0.740896,0.053240,147136
1962-03-27,0.000000,0.748967,0.744124,0.748967,0.053820,147136
1962-03-28,0.000000,0.748967,0.739282,0.742510,0.053356,255552
1962-03-29,0.000000,0.742510,0.739282,0.739282,0.053124,15488
1962-03-30,0.000000,0.739282,0.734440,0.734440,0.052776,69696
1962-04-02,0.000000,0.732825,0.724755,0.724755,0.052080,85184
1962-04-03,0.000000,0.726369,0.723140,0.723140,0.051964,92928
1962-04-04,0.000000,0.732825,0.719912,0.726369,0.052196,100672
1962-04-05,0.000000,0.729597,0.726369,0.729597,0.052428,92928
1962-04-06,0.000000,0.731211,0.723140,0.723140,0.051964,30976
1962-04-09,0.000000,0.721526,0.716684,0.721526,0.051848,61952
1962-04-10,0.000000,0.723140,0.719912,0.723140,0.051964,131648
1962-04-11,0.000000,0.736054,0.719912,0.719912,0.051732,232320
1962-04-12,0.000000,0.719912,0.711841,0.711841,0.051152,193600
1962-04-13,0.000000,0.716684,0.711841,0.716684,0.051500,116160
1962-04-16,0.000000,0.716684,0.711841,0.711841,0.051152,139392
1962-04-17,0.000000,0.716684,0.711841,0.716684,0.051500,54208
1962-04-18,0.000000,0.718298,0.711841,0.713456,0.051268,61952
1962-04-19,0.000000,0.723140,0.718298,0.723140,0.051964,54208
1962-04-23,0.000000,0.726369,0.719912,0.723140,0.051964,92928
1962-04-24,0.000000,0.727983,0.719912,0.723140,0.051964,38720
1962-04-25,0.000000,0.719912,0.718298,0.718298,0.051616,23232
1962-04-26,0.000000,0.716684,0.716684,0.716684,0.051500,69696
1962-04-27,0.000000,0.716684,0.700542,0.700542,0.050340,139392
1962-04-30,0.000000,0.703771,0.671488,0.676330,0.048601,216832
1962-05-01,0.000000,0.687629,0.671488,0.687629,0.049412,123904
1962-05-02,0.000000,0.689243,0.681173,0.681173,0.048949,61952
1962-05-03,0.000000,0.684401,0.677944,0.677944,0.048717,340736
1962-05-04,0.000000,0.684401,0.674716,0.674716,0.048485,54208
1962-05-07,0.000000,0.681173,0.674716,0.681173,0.048949,77440
1962-05-08,0.000000,0.687629,0.684401,0.687629,0.049412,38720
1962-05-09,0.000000,0.681173,0.666645,0.668259,0.048021,154880
1962-05-10,0.000000,0.668259,0.660189,0.666645,0.047905,108416
